# Time (s),Elevation (rad),eta_tot,eta_diff,eta_atm,eta_sys,Distance (m)
2.730000000000000000e+02,1.271777960196284751e-01,2.320599528020012329e-04,1.953543982011542515e-02,3.756444755392055468e-01,3.162277660168379134e-02,2.055352979940415593e+06
2.720000000000000000e+02,1.287031192746996566e-01,2.360642714336661473e-04,1.966615273543356052e-02,3.795865830806838814e-01,3.162277660168379134e-02,2.048449480644133873e+06
2.710000000000000000e+02,1.302350633185107853e-01,2.401274891627217759e-04,1.979815164938904595e-02,3.835458016582232732e-01,3.162277660168379134e-02,2.041547346968990518e+06
2.700000000000000000e+02,1.317736941962577846e-01,2.442506111514319801e-04,1.993145290520463922e-02,3.875223019617178299e-01,3.162277660168379134e-02,2.034646601092944853e+06
2.690000000000000000e+02,1.333190788076254185e-01,2.484346623970104658e-04,2.006607309620338925e-02,3.915162568894374751e-01,3.162277660168379134e-02,2.027747265463334508e+06
2.680000000000000000e+02,1.348712849201731401e-01,2.526806881751287258e-04,2.020202907019042621e-02,3.955278415826227745e-01,3.162277660168379134e-02,2.020849362801307580e+06
2.670000000000000000e+02,1.364303811829556956e-01,2.569897544944164903e-04,2.033933793391855607e-02,3.995572334606866671e-01,3.162277660168379134e-02,2.013952916106344201e+06
2.660000000000000000e+02,1.379964371403980816e-01,2.613629485622811404e-04,2.047801705763965807e-02,4.036046122570733918e-01,3.162277660168379134e-02,2.007057948660861468e+06
2.650000000000000000e+02,1.395695232464183311e-01,2.658013792623283283e-04,2.061808407974332139e-02,4.076701600557580685e-01,3.162277660168379134e-02,2.000164484034913825e+06
2.640000000000000000e+02,1.411497108788077048e-01,2.699974511482703906e-04,2.075955691148460847e-02,4.112837820715891657e-01,3.162277660168379134e-02,1.993272546090978198e+06
2.630000000000000000e+02,1.427370723538707031e-01,2.742437365999767299e-04,2.090245374180262072e-02,4.148961898941237458e-01,3.162277660168379134e-02,1.986382158988839015e+06
2.620000000000000000e+02,1.443316809413370538e-01,2.785527364430410969e-04,2.104679304223173661e-02,4.185250901954968850e-01,3.162277660168379134e-02,1.979493347190564033e+06
2.610000000000000000e+02,1.459336108795411258e-01,2.829255367695241797e-04,2.119259357190721865e-02,4.221706519221924969e-01,3.162277660168379134e-02,1.972606135465581669e+06
2.600000000000000000e+02,1.475429373908817843e-01,2.873632454746709243e-04,2.133987438266721215e-02,4.258330462601604971e-01,3.162277660168379134e-02,1.965720548895854503e+06
